1,1,1001,50.000000
2,1,1002,61.147057
3,1,1003,52.874352
4,1,1004,12.500000
5,1,1005,15.860902
6,1,1006,13.722450
7,1,1007,12.500000
8,1,1008,28.914619
9,1,1009,12.500000
10,1,1010,26.703159
11,1,1011,12.500000
12,1,1012,51.478374
13,1,2001,42.448223
14,1,2002,39.139847
15,1,2003,46.344833
16,1,2004,37.500000
17,1,2005,41.185741
18,1,2006,39.898243
19,1,2007,37.500000
20,1,2008,30.649794
21,1,2009,30.979841
22,1,2010,27.962290
23,1,2011,40.644505
24,1,2012,25.000000
25,1,2013,27.081171
26,1,2014,26.214365
27,1,2015,33.035385
28,1,2016,28.579439
29,1,2017,21.771921
30,1,2018,25.000000
31,1,2019,14.424514
32,1,3001,16.005169
33,1,3002,17.891212
34,1,3003,31.055138
35,1,3004,28.842419
36,1,3005,50.000000
37,1,3006,25.000000
38,1,3007,35.400436
39,1,3008,27.222963
40,1,3009,19.185207
41,1,3010,12.500000
42,1,3011,37.500000
43,1,3012,49.529095
44,1,3013,19.875093
45,1,3014,17.601374
46,1,3015,37.500000
47,1,3016,42.071800
48,1,3017,25.000000
49,1,3018,50.000000
50,2,1005,14.468421
51,2,3001,15.810491
52,3,1006,13.663662
53,3,2017,22.379824
54,3,2019,15.948778
55,3,3014,14.360549
56,4,1004,16.434341
57,4,1007,14.535221
58,4,1009,12.508486
59,4,2013,29.805866
60,4,3001,21.332195
61,5,1005,12.913944
62,5,2012,25.097986
63,5,3009,17.544811
64,6,2009,30.434319
65,6,2019,14.650711
66,6,3007,28.882492
67,6,3012,45.403130
68,6,3013,23.191044
69,7,1006,14.482891
70,7,3002,14.941283
71,7,3004,25.256985
72,7,3008,26.805859
73,7,3010,12.529193
74,8,2003,39.806358
75,8,2004,38.224976
76,8,2016,25.851738
77,8,3016,39.701397
78,9,3015,42.881931
79,10,1005,16.839809
80,10,1011,20.025640
81,10,2001,46.867268
82,10,2010,25.400370
83,10,2011,40.065861
84,10,3003,30.601866
85,10,3010,13.622135
86,11,3011,39.750660
87,12,3017,26.561535
88,13,1008,43.252075
89,13,1011,13.567488
90,13,2005,39.954636
91,13,2014,28.847204
92,13,2017,17.663761
93,13,3010,13.510674
94,13,3018,53.567287
95,14,2002,38.717323
96,14,2018,27.164185
97,14,2019,14.822072
98,14,3014,13.380944
99,15,1002,52.871326
100,15,1005,14.364547
101,15,1007,16.113255
102,15,1011,14.979943
103,15,2013,30.309278
104,15,3002,15.941454
105,15,3006,25.637569
106,15,3009,20.379990
107,16,1003,52.655636
108,16,2006,39.365997
109,16,2007,42.892239
110,16,2012,32.543556
111,16,3001,18.156712
112,16,3005,58.498207
113,16,3007,30.349424
114,16,3017,27.688620
115,17,1001,69.766998
116,17,1004,51.290287
117,17,1005,38.937195
118,17,1006,43.660828
119,17,1007,35.460583
120,17,1008,40.372391
121,17,1009,55.113815
122,17,1010,59.748028
123,17,1011,13.008419
124,17,1012,72.984261
125,17,2003,67.263664
126,17,2004,47.057541
127,17,2008,40.306229
128,17,2009,35.822968
129,17,2010,30.920656
130,17,2011,44.137726
131,17,2012,40.285797
132,17,2013,39.169380
133,17,2014,65.463409
134,17,2015,41.101730
135,17,2016,38.918438
136,17,2017,41.570866
137,17,2018,55.006912
138,17,2019,17.321976
139,17,3001,44.923035
140,17,3002,30.925531
141,17,3003,42.270927
142,17,3008,42.642242
143,17,3009,24.900801
144,17,3010,58.418098
145,17,3012,47.449787
146,17,3013,33.227505
147,17,3014,41.662495
148,17,3016,51.664993
149,17,3018,52.377651
150,18,2002,37.984482
151,18,3004,28.340199
152,18,3007,34.729362
153,18,3015,42.882324
154,19,2019,19.668892
155,19,3005,54.693928
156,19,3006,26.766171
157,19,3009,25.965528
158,19,3013,16.395664
159,19,3017,27.002695
